# fixed mirror figure, mode=median, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
68,31124.6154963265,-25543.3118105322,7.129813632358825e-09,-1.3434197879937687e-06,5.952227503754697e-08
69,35509.817663482405,-18980.3929767134,4.544198715578695e-09,-1.342796356922759e-06,1.806193157293437e-08
70,38530.3974519658,-11688.0682851266,2.7087588178900548e-09,-1.341354655146204e-06,4.090592712774266e-09
71,40070.2756744661,-3946.5776840865997,2.346291253892966e-09,-1.3426053921401214e-06,5.23339390735828e-10
72,40070.2756744661,3946.57768408661,2.0613794050307173e-09,-1.3450675479206015e-06,8.57278851939577e-10
73,38530.3974519658,11688.0682851266,6.570898091572815e-10,-1.344880083189582e-06,1.3171827822450451e-08
74,35509.817663482405,18980.3929767134,5.208363333520532e-09,-1.3481063647258467e-06,4.339492704758552e-08
75,31124.6154963265,25543.3118105322,1.7422084227273047e-08,-1.3511947384642844e-06,8.260575695070615e-08
76,25543.3118105322,31124.6154963265,1.9815269319926672e-08,-1.3568145761478231e-06,1.5557088342035154e-07
77,18980.3929767134,35509.817663482405,1.4631933573985944e-08,-1.3614618089817262e-06,2.269394436903523e-07
78,11688.0682851266,38530.3974519658,1.045539659761403e-08,-1.364014102476939e-06,2.5188701480005336e-07
79,3946.5776840865997,40070.2756744661,7.678457513390181e-09,-1.364490515176673e-06,2.4527687119609757e-07
80,-3946.57768408661,40070.2756744661,-7.646283062470469e-09,-1.36443591444077e-06,2.457082657759792e-07
81,-11688.0682851266,38530.3974519658,-1.0433226684324009e-08,-1.364021409889499e-06,2.5173605426988744e-07
82,-18980.3929767134,35509.817663482405,-1.446785808083408e-08,-1.361451524019182e-06,2.2684308572146895e-07
83,-25543.3118105322,31124.615496326398,-1.9742840280247735e-08,-1.356794449667837e-06,1.5563110048350207e-07
84,-31124.6154963265,25543.3118105322,-1.7402102457162017e-08,-1.3511956822452051e-06,8.250406973579786e-08
85,-35509.817663482405,18980.3929767134,-5.267432429364567e-09,-1.3481123496723445e-06,4.360948525122148e-08
86,-38530.3974519658,11688.0682851266,-6.595310329850611e-10,-1.3448793786075138e-06,1.3348585314614598e-08
87,-40070.2756744661,3946.5776840865997,-2.0661453839257587e-09,-1.3450687790564967e-06,7.93284020814807e-10
88,-40070.2756744661,-3946.57768408661,-2.2705514716071316e-09,-1.3426064027506918e-06,5.049227755897674e-10
89,-38530.3974519658,-11688.0682851266,-2.838600059004321e-09,-1.341352128787846e-06,4.172503476006124e-09
90,-35509.817663482405,-18980.3929767134,-4.594905079599546e-09,-1.3427988712012007e-06,1.8194294505511386e-08
91,-31124.6154963265,-25543.3118105322,-7.119290604918268e-09,-1.3434244167433603e-06,5.952326500095136e-08
92,-25543.3118105322,-31124.6154963265,-5.930008340385801e-09,-1.345254854249622e-06,9.899709799209753e-08
93,-18980.3929767134,-35509.817663482405,-6.739964249401899e-09,-1.3469656273496335e-06,1.4595547535004464e-07
94,-11688.0682851266,-38530.3974519658,-8.069164760774431e-09,-1.3489735908721348e-06,1.5345673126700307e-07
95,-3946.5776840865997,-40070.2756744661,-6.627000349984496e-09,-1.3497090902687345e-06,1.6681340377186884e-07
96,3014.76446879802,-45996.4173283991,6.065711360721861e-09,-1.248831615118597e-06,1.7201068444199035e-07
97,8992.7099504825,-45209.405875294105,1.4524796092911638e-08,-1.248269789985854e-06,1.6300110743824207e-07
98,14816.787671663898,-43648.848953247405,2.0941382860340372e-08,-1.2474078454124077e-06,1.4316559699904478e-07
99,20387.3460477936,-41341.4481238635,1.3285857137691361e-08,-1.2461075110399402e-06,1.4453928288854546e-07
100,25609.071280605298,-38326.683655065404,1.619273077198343e-08,-1.2443693548289838e-06,1.2167037010464316e-07
101,30392.61820363,-34656.1390027649,2.31588636988492e-08,-1.2438106206138374e-06,9.432317332474412e-08
102,34656.1390027648,-30392.6182036301,1.8236954223451545e-08,-1.241868467446562e-06,6.914742901249511e-08
103,38326.6836550653,-25609.0712806054,1.4856260640072028e-08,-1.242029703529266e-06,3.978069635556385e-08
104,41341.4481238634,-20387.346047793697,9.36444154486063e-09,-1.2406018246604569e-06,1.553109248041142e-08
105,43648.848953247405,-14816.787671664,2.940855345978192e-09,-1.2400121705749514e-06,4.123538013291783e-09
106,45209.405875294105,-8992.70995048261,3.7161051120120877e-09,-1.2406389651678608e-06,2.5139714273633913e-09
107,45996.4173283991,-3014.7644687981397,3.797716026057307e-09,-1.2421101622031845e-06,4.418845079296118e-09
108,45996.4173283991,3014.76446879807,4.2746133927602285e-09,-1.2439921299330843e-06,4.672957535794707e-09
109,45209.405875294105,8992.70995048254,4.167430948319261e-09,-1.2443915477955209e-06,4.9717904231492326e-09
110,43648.848953247405,14816.787671664,2.8414652151397344e-09,-1.2443204416748017e-06,1.8062746986366796e-08
111,41341.4481238635,20387.346047793697,7.599055807497397e-09,-1.2454726645898063e-06,3.5295115879739496e-08
112,38326.6836550653,25609.0712806054,1.7787657378973956e-08,-1.2490040921567808e-06,6.549217644662456e-08
113,34656.1390027648,30392.61820363,2.3482350471979643e-08,-1.2508875463357144e-06,1.1796392834826014e-07
114,30392.61820363,34656.1390027648,2.6361746036860905e-08,-1.2547458464564122e-06,1.3837390117362765e-07
115,25609.0712806054,38326.6836550653,1.9785046159254363e-08,-1.2590515133582351e-06,1.6417958248394732e-07
116,20387.346047793697,41341.4481238634,1.858913067923713e-08,-1.2615373916723999e-06,2.1094289875919517e-07
117,14816.787671664,43648.848953247405,1.6785341319887055e-08,-1.2634904239949837e-06,2.3864848434642805e-07
118,8992.709950482571,45209.405875294105,2.0209953830826324e-08,-1.2638866499441047e-06,2.51721738510254e-07
119,3014.7644687981,45996.4173283991,1.9483624239741112e-08,-1.2634711974582038e-06,2.416816964673441e-07
120,-3014.7644687981,45996.4173283991,-1.950616226800558e-08,-1.2634342551811741e-06,2.416850122642461e-07
121,-8992.70995048256,45209.405875294105,-2.0415563326622213e-08,-1.2639396489455803e-06,2.516820233062609e-07
122,-14816.787671664,43648.848953247405,-1.670434784044363e-08,-1.2634592943386925e-06,2.3822649696969084e-07
123,-20387.346047793697,41341.4481238634,-1.8507591355913406e-08,-1.2615108157054923e-06,2.1066479750291972e-07
124,-25609.0712806054,38326.6836550653,-1.969741841860657e-08,-1.2589910989703356e-06,1.6380008900291946e-07
125,-30392.61820363,34656.1390027648,-2.6244785647390106e-08,-1.2547738723798476e-06,1.386134823698526e-07
126,-34656.1390027648,30392.61820363,-2.349937111010065e-08,-1.2508947045613442e-06,1.1816133068029017e-07
127,-38326.6836550653,25609.0712806054,-1.7620872730678243e-08,-1.2490340524662015e-06,6.496099474984607e-08
128,-41341.4481238635,20387.346047793697,-7.42586309422309e-09,-1.2454754674525488e-06,3.532280422089899e-08
129,-43648.848953247405,14816.787671664,-2.825717996175459e-09,-1.2443219048648432e-06,1.7810039073833977e-08
130,-45209.405875294105,8992.70995048254,-4.2896127425169665e-09,-1.2443893223714328e-06,5.207478442879978e-09
131,-45996.4173283991,3014.76446879809,-4.099817046219128e-09,-1.2439934990423634e-06,4.6969702418233745e-09
132,-45996.4173283991,-3014.7644687981397,-3.69325380815432e-09,-1.2421113656051536e-06,4.300684167116948e-09
133,-45209.405875294105,-8992.70995048261,-3.7120824895887837e-09,-1.2406404564511452e-06,2.5207156016166672e-09
134,-43648.848953247405,-14816.787671664,-2.9597631447192565e-09,-1.240009382623569e-06,4.155772709235126e-09
135,-41341.4481238634,-20387.346047793697,-9.246500504396445e-09,-1.2406016108738233e-06,1.5474093646991747e-08
136,-38326.6836550653,-25609.0712806054,-1.4836282460658222e-08,-1.2420272691166594e-06,3.976476534251492e-08
137,-34656.1390027648,-30392.6182036301,-1.82508536843858e-08,-1.2418609187806565e-06,6.899116011488427e-08
138,-30392.61820363,-34656.1390027649,-2.318949928013931e-08,-1.2438087342086087e-06,9.429366439970874e-08
139,-25609.071280605298,-38326.683655065404,-1.622534842904904e-08,-1.2443843647311003e-06,1.2129263904619018e-07
140,-20387.3460477936,-41341.4481238635,-1.328468891214074e-08,-1.2461207525065387e-06,1.4480571973556399e-07
141,-14816.787671663898,-43648.848953247405,-2.0757903936538517e-08,-1.2474076456489486e-06,1.4302708127629723e-07
142,-8992.709950482511,-45209.405875294105,-1.4713744338422802e-08,-1.2482697072379274e-06,1.6304850656314792e-07
143,-3014.76446879805,-45996.4173283991,-6.059692713446811e-09,-1.2488385080513672e-06,1.7208914853247848e-07
144,-8.76900682911802e-11,-51127.5235819115,-6.0008410698821854e-12,-1.1693439288510886e-06,1.710470942797925e-07
145,6673.48097078771,-50690.1205300545,1.3763634430722458e-08,-1.1694692454282553e-06,1.6683326725757508e-07
146,13232.7768319268,-49385.3954619717,2.6742316354453557e-08,-1.1687198063015382e-06,1.513655847208438e-07
147,19565.6562126529,-47235.6725853162,3.0813894975199143e-08,-1.1676687801633472e-06,1.3083795981933733e-07
148,25563.761790955698,-44277.7342545234,2.438401739022223e-08,-1.166302679576621e-06,1.353028855901095e-07
149,31124.4643174014,-40562.191614528405,2.1838886907037957e-08,-1.16440303297738e-06,1.0433517901009092e-07
150,36152.6186300447,-36152.6186300448,1.8108799393230568e-08,-1.1630901660175726e-06,7.702924612444861e-08
151,40562.1916145283,-31124.4643174015,1.4868787390705654e-08,-1.1623244825922583e-06,4.996415628892077e-08
152,44277.734254523304,-25563.761790955803,1.229812806884071e-08,-1.1619555818555852e-06,2.471676903462165e-08
