# fixed mirror figure, mode=spherical, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
0,2940.51420988683,-29855.541800165898,0.0,-1.5400443144886936e-06,0.0
1,8708.540317633871,-28708.2100719662,0.0,-1.540044314488695e-06,0.0
2,14141.9021047799,-26457.637930450597,0.0,-1.540044314488695e-06,0.0
3,19031.7985249093,-23190.3136008821,0.0,-1.5400443144886945e-06,0.0
4,23190.3136008821,-19031.7985249093,0.0,-1.5400443144886945e-06,0.0
5,26457.637930450597,-14141.9021047799,0.0,-1.540044314488695e-06,0.0
6,28708.2100719662,-8708.54031763386,0.0,-1.540044314488695e-06,0.0
7,29855.541800165898,-2940.51420988681,0.0,-1.5400443144886936e-06,0.0
8,29855.541800165898,2940.51420988682,0.0,-1.5400443144886936e-06,0.0
9,28708.2100719662,8708.540317633871,0.0,-1.540044314488695e-06,0.0
10,26457.637930450597,14141.9021047799,0.0,-1.540044314488695e-06,0.0
11,23190.3136008821,19031.7985249093,0.0,-1.5400443144886945e-06,0.0
12,19031.7985249093,23190.3136008821,0.0,-1.5400443144886945e-06,0.0
13,14141.9021047799,26457.637930450597,0.0,-1.540044314488695e-06,0.0
14,8708.540317633871,28708.2100719662,0.0,-1.540044314488695e-06,0.0
15,2940.51420988681,29855.541800165898,0.0,-1.5400443144886936e-06,0.0
16,-2940.51420988681,29855.541800165898,0.0,-1.5400443144886936e-06,0.0
17,-8708.540317633871,28708.2100719662,0.0,-1.540044314488695e-06,0.0
18,-14141.9021047799,26457.637930450597,0.0,-1.540044314488695e-06,0.0
19,-19031.7985249093,23190.3136008821,0.0,-1.5400443144886945e-06,0.0
20,-23190.3136008821,19031.7985249093,0.0,-1.5400443144886945e-06,0.0
21,-26457.637930450597,14141.9021047799,0.0,-1.540044314488695e-06,0.0
22,-28708.2100719662,8708.540317633871,0.0,-1.540044314488695e-06,0.0
23,-29855.541800165898,2940.51420988681,0.0,-1.5400443144886936e-06,0.0
24,-29855.541800165898,-2940.51420988681,0.0,-1.5400443144886936e-06,0.0
25,-28708.2100719662,-8708.54031763386,0.0,-1.540044314488695e-06,0.0
26,-26457.637930450597,-14141.9021047799,0.0,-1.540044314488695e-06,0.0
27,-23190.3136008821,-19031.7985249093,0.0,-1.5400443144886945e-06,0.0
28,-19031.7985249093,-23190.3136008821,0.0,-1.5400443144886945e-06,0.0
29,-14141.9021047799,-26457.637930450597,0.0,-1.540044314488695e-06,0.0
30,-8708.540317633871,-28708.2100719662,0.0,-1.540044314488695e-06,0.0
31,-2940.51420988681,-29855.541800165898,0.0,-1.5400443144886936e-06,0.0
32,2.1440270314032197e-12,-35014.618629566896,0.0,-1.4370597302987746e-06,0.0
33,6831.01322371415,-34341.822550811994,0.0,-1.4370597302987737e-06,0.0
