# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
39,34341.822550811994,-6831.01322371414,-4.840307396116905e-08,-1.48474120818617e-06,-4.3011324401137896e-09
40,35014.618629566896,0.0,-1.0876584278361829e-08,-1.487121639844109e-06,1.260806347662475e-08
41,34341.822550811994,6831.01322371414,2.1106538891477706e-08,-1.4877297666098893e-06,2.1332304038503424e-08
42,32349.289490545303,13399.5144401173,6.75652596993552e-08,-1.486592644724096e-06,3.2197729620189085e-08
43,29113.5913768475,19453.079831121,1.1609430062279566e-07,-1.4840452799748868e-06,7.146142156970756e-08
44,24759.0742736276,24759.0742736276,1.2438495480044913e-07,-1.4806571855226514e-06,1.38155891260159e-07
45,19453.079831121,29113.5913768475,8.495524386696542e-08,-1.4771052042237264e-06,1.870119212149364e-07
46,13399.5144401173,32349.289490545303,5.293077619129494e-08,-1.4740388838190725e-06,2.0055090095009503e-07
47,6831.01322371414,34341.822550811994,2.4534524946986244e-08,-1.4719782822814532e-06,2.1503268146640021e-07
48,2.1440270314032197e-12,35014.618629566896,-7.795786242412528e-13,-1.4712538522386415e-06,2.16052715956799e-07
49,-6831.013223714131,34341.822550811994,-2.4534702847280908e-08,-1.471978354048084e-06,2.150325610328063e-07
50,-13399.5144401172,32349.289490545303,-5.2933052047916606e-08,-1.4740390248709873e-06,2.0055176499871955e-07
51,-19453.079831121,29113.5913768475,-8.495296965945836e-08,-1.4771054087889677e-06,1.870112773712956e-07
52,-24759.0742736276,24759.0742736276,-1.243865495208434e-07,-1.480657442756101e-06,1.3815523288409316e-07
53,-29113.5913768475,19453.079831121,-1.1609439617354e-07,-1.484045571046562e-06,7.146019571411475e-08
54,-32349.289490545303,13399.5144401173,-6.757032795928289e-08,-1.4865929395001535e-06,3.2191376794189984e-08
55,-34341.822550811994,6831.01322371415,-2.110875269456717e-08,-1.487730023365068e-06,2.132039655830013e-08
56,-35014.618629566896,4.288054062806439e-12,1.0790058436698071e-08,-1.487121813768109e-06,1.2816071480041927e-08
57,-34341.822550811994,-6831.01322371414,4.840743366951173e-08,-1.4847412691503063e-06,-4.298883522049558e-09
58,-32349.289490545303,-13399.5144401172,9.944115747872313e-08,-1.4808709770826894e-06,1.4495053957539761e-08
59,-29113.5913768475,-19453.079831121,9.344395337942661e-08,-1.4760396297625262e-06,8.993467447677573e-08
60,-24759.0742736276,-24759.0742736276,7.101131091903936e-08,-1.4709094505477848e-06,1.287051831272772e-07
61,-19453.079831121,-29113.5913768475,4.931292467421476e-08,-1.4661478972568803e-06,1.4569082487925644e-07
62,-13399.5144401172,-32349.289490545303,3.0993174722191356e-08,-1.462326228886208e-06,1.5319045272136622e-07
63,-6831.01322371415,-34341.822550811994,1.4966113114249795e-08,-1.4598650281140765e-06,1.5630732749911336e-07
64,3946.5776840866197,-40070.2756744661,-4.489808429146745e-09,-1.3587205060764541e-06,1.6511597787073907e-07
65,11688.0682851266,-38530.3974519658,-1.3923218963312143e-08,-1.360563568545182e-06,1.6403498946115736e-07
66,18980.3929767134,-35509.817663482405,-2.48788535812072e-08,-1.3640764015496846e-06,1.608750231743689e-07
67,25543.3118105322,-31124.6154963265,-3.890818067436907e-08,-1.3689048672665533e-06,1.5286132259048973e-07
68,31124.6154963265,-25543.3118105322,-5.7675259590212384e-08,-1.3745103358137577e-06,1.3264678578200038e-07
